timestamps,TP9,AF7,AF8,TP10
1667247691.086,-1000.000,-1000.000,-542.969,-1000.000
1667247691.088,-247.070,-541.504,-478.516,-429.199
1667247691.092,-814.453,965.820,-497.559,-878.418
1667247691.096,233.398,355.469,-546.875,374.023
1667247691.100,-1000.000,-1000.000,-558.594,-1000.000
1667247691.104,-345.703,-890.137,-496.582,-811.035
1667247691.108,-849.121,543.945,-446.289,759.277
1667247691.112,534.668,725.098,-492.188,850.586
1667247691.115,-1000.000,-727.539,-553.711,-670.898
1667247691.119,-804.688,-1000.000,-525.879,-1000.000
1667247691.123,750.488,76.172,-511.230,28.320
1667247691.127,-946.777,-984.863,-508.301,-821.289
1667247691.131,-372.070,-243.164,-516.602,-24.902
1667247691.133,-1000.000,-1000.000,-483.887,-1000.000
1667247691.137,48.828,-288.086,-489.258,-236.816
1667247691.141,-781.250,-899.414,-484.863,-823.242
1667247691.145,150.879,121.582,-523.926,238.770
1667247691.149,-1000.000,-1000.000,-570.312,-1000.000
1667247691.153,-260.254,-623.047,-482.422,-441.406
1667247691.157,-811.035,888.184,-454.102,-897.949
1667247691.160,247.070,437.012,-424.316,583.008
1667247691.164,-1000.000,-1000.000,-499.023,-949.707
1667247691.168,-442.383,-965.820,-584.473,-1000.000
1667247691.172,-902.832,430.664,-481.445,506.836
1667247691.176,647.949,797.852,-483.887,954.102
1667247691.178,-937.012,-618.652,-583.008,-549.316
1667247691.182,-951.172,-1000.000,-582.031,-1000.000
1667247691.186,548.340,-39.062,-472.656,-83.008
1667247691.190,-855.957,-936.523,-443.359,-821.777
1667247691.194,-208.008,-123.535,-550.781,91.309
1667247691.198,-1000.000,-1000.000,-553.223,-1000.000
1667247691.202,-63.477,-363.770,-424.316,-247.559
1667247691.205,-787.109,-913.086,-379.395,-817.871
1667247691.209,209.961,220.703,-547.363,244.141
1667247691.213,-1000.000,-1000.000,-602.539,-1000.000
1667247691.217,-270.508,-709.473,-520.020,-499.512
1667247691.221,-811.035,796.387,-479.492,-919.434
1667247691.223,328.125,536.133,-525.879,556.152
1667247691.227,-1000.000,-948.730,-584.961,-947.754
1667247691.231,-561.035,-1000.000,-537.109,-1000.000
1667247691.235,-980.469,297.363,-489.746,294.922
1667247691.239,779.297,869.141,-491.699,-915.039
1667247691.243,-776.855,-506.348,-544.434,-337.891
1667247691.247,-1000.000,-1000.000,-490.723,-1000.000
1667247691.250,361.816,-121.582,-415.527,-124.023
1667247691.254,-812.012,-899.902,-483.398,-812.988
1667247691.258,-74.707,-15.625,-545.410,188.965
1667247691.262,-1000.000,-1000.000,-542.480,-1000.000
1667247691.266,-181.641,-430.664,-519.043,-310.059
1667247691.268,-803.711,-940.918,-504.883,-831.543
1667247691.272,223.145,280.273,-505.859,289.062
1667247691.276,-1000.000,-1000.000,-537.598,-1000.000
1667247691.280,-271.973,-810.059,-541.504,-727.539
1667247691.284,-814.941,668.457,-479.980,845.703
1667247691.288,414.062,598.633,-439.453,814.453
1667247691.292,-1000.000,-881.348,-508.789,-725.098
1667247691.295,-662.598,-1000.000,-535.156,-1000.000
1667247691.299,920.410,184.570,-485.352,161.621
1667247691.303,921.387,942.871,-448.242,-813.965
1667247691.307,-574.707,-377.441,-488.281,-62.500
1667247691.311,-1000.000,-1000.000,-583.008,-1000.000
1667247691.329,196.777,-192.383,-511.230,-205.566
1667247691.333,-787.598,-888.672,-479.980,-817.871
1667247691.337,37.109,50.293,-545.898,220.215
1667247691.341,-1000.000,-1000.000,-582.031,-1000.000
1667247691.345,-247.070,-540.039,-489.258,-410.156
1667247691.349,-814.453,966.797,-375.488,-871.094
1667247691.353,233.398,345.703,-427.734,383.789
1667247691.356,-1000.000,-1000.000,-547.852,-1000.000
1667247691.360,-343.262,-894.531,-506.836,-786.621
1667247691.364,-847.656,535.645,-395.996,791.016
1667247691.368,527.832,713.867,-472.168,848.145
1667247691.372,-1000.000,-738.281,-600.098,-702.637
1667247691.376,-796.387,-1000.000,-561.523,-1000.000
1667247691.380,758.301,68.359,-372.070,184.082
1667247691.384,-947.266,-980.957,-405.273,-813.477
1667247691.388,-372.559,-232.422,-596.191,-55.664
1667247691.392,-1000.000,-1000.000,-528.809,-1000.000
1667247691.396,57.129,-284.180,-415.527,-223.633
1667247691.400,-781.250,-897.461,-451.172,-822.754
1667247691.403,140.137,120.605,-557.617,238.281
1667247691.407,-1000.000,-1000.000,-524.902,-1000.000
1667247691.411,-258.789,-616.699,-426.758,-475.586
1667247691.415,-812.012,893.555,-491.699,-900.879
1667247691.419,244.141,447.266,-525.391,470.703
1667247691.419,-1000.000,-1000.000,-557.617,-1000.000
1667247691.423,-437.988,-962.891,-555.176,-960.449
1667247691.427,-899.414,441.895,-499.023,535.156
1667247691.431,639.648,791.504,-501.465,998.047
1667247691.435,-946.289,-627.930,-532.715,-480.957
1667247691.439,-944.336,-1000.000,-520.996,-1000.000
1667247691.443,559.082,-34.180,-458.008,-68.359
1667247691.446,-861.816,-946.777,-446.777,-809.570
1667247691.450,-220.215,-144.531,-449.707,145.020
1667247691.454,-1000.000,-1000.000,-482.422,-1000.000
1667247691.458,-62.500,-355.469,-539.062,-270.020
1667247691.462,-787.598,-913.086,-487.305,-820.312
1667247691.464,209.961,200.195,-515.625,243.652
1667247691.468,-1000.000,-1000.000,-585.449,-1000.000
1667247691.472,-270.020,-703.125,-516.113,-523.926
1667247691.476,-811.035,798.828,-434.082,-927.734
1667247691.480,322.266,532.715,-472.168,554.688
1667247691.484,-1000.000,-953.125,-538.574,-956.543
1667247691.488,-552.246,-1000.000,-533.203,-1000.000
1667247691.491,-972.656,307.617,-409.668,299.316
1667247691.495,766.113,860.352,-375.000,-949.219
1667247691.499,-791.504,-516.602,-580.566,-403.809
1667247691.503,-1000.000,-1000.000,-579.590,-1000.000
1667247691.507,369.141,-121.582,-479.004,-125.977
1667247691.508,-814.941,-908.203,-471.191,-815.918
1667247691.512,-88.867,-30.762,-564.453,181.641
1667247691.516,-1000.000,-1000.000,-594.727,-1000.000
1667247691.520,-171.875,-437.012,-502.441,-280.762
1667247691.524,-802.246,-950.195,-456.055,-821.289
1667247691.528,222.168,270.508,-493.652,284.180
1667247691.532,-1000.000,-1000.000,-538.574,-1000.000
1667247691.535,-271.973,-804.688,-483.887,-649.414
1667247691.539,-814.941,671.875,-477.539,955.078
1667247691.543,408.203,601.562,-525.391,666.504
1667247691.547,-1000.000,-874.023,-560.059,-898.926
1667247691.551,-663.574,-1000.000,-422.363,-1000.000
1667247691.553,919.922,171.875,-393.066,300.781
1667247691.557,916.016,954.102,-531.738,-852.539
1667247691.561,-586.426,-362.305,-543.457,-181.152
1667247691.565,-1000.000,-1000.000,-532.227,-1000.000
1667247691.569,209.473,-184.570,-497.559,-192.871
1667247691.573,-789.551,-889.160,-448.730,-822.266
1667247691.577,25.391,40.527,-452.637,225.586
1667247691.580,-1000.000,-1000.000,-487.305,-1000.000
1667247691.584,-242.188,-529.785,-537.598,-418.457
1667247691.588,-813.965,977.539,-499.512,-873.535
1667247691.592,232.910,336.914,-502.930,413.574
1667247691.596,-1000.000,-1000.000,-567.383,-1000.000
1667247691.602,-337.402,-884.277,-543.457,-853.027
1667247691.606,-843.750,554.688,-484.863,727.051
1667247691.610,515.137,697.754,-477.539,835.938
1667247691.614,-1000.000,-757.324,-584.473,-714.355
1667247691.618,-783.691,-1000.000,-561.035,-1000.000
1667247691.622,775.879,82.520,-455.078,90.820
1667247691.626,-961.914,995.605,-374.512,-797.363
1667247691.629,-395.996,-273.926,-453.613,90.332
1667247691.633,-1000.000,-1000.000,-589.355,-1000.000
1667247691.637,68.848,-279.785,-456.543,-250.488
1667247691.641,-781.250,-898.438,-437.500,-814.941
1667247691.645,133.789,117.188,-545.410,236.816
1667247691.643,-1000.000,-1000.000,-599.121,-1000.000
1667247691.647,-257.812,-626.465,-504.883,-462.891
1667247691.651,-812.012,881.348,-447.266,-896.973
1667247691.655,235.840,437.012,-529.785,481.934
1667247691.659,-1000.000,-1000.000,-593.262,-1000.000
1667247691.663,-431.152,-966.309,-469.238,-764.160
1667247691.667,-896.484,426.270,-380.859,811.523
1667247691.670,633.301,797.852,-505.371,917.969
1667247691.674,-957.520,-622.070,-589.844,-537.109
1667247691.678,-926.270,-1000.000,-551.758,-1000.000
1667247691.682,584.961,-19.043,-464.844,-77.637
1667247691.686,-867.676,-947.266,-468.262,-826.172
1667247691.704,-229.980,-149.414,-555.664,59.570
1667247691.708,-1000.000,-1000.000,-558.105,-1000.000
1667247691.712,-52.246,-354.004,-499.512,-252.441
1667247691.716,-786.621,-911.133,-494.141,-822.266
1667247691.720,208.984,200.195,-524.414,242.676
1667247691.724,-1000.000,-1000.000,-527.344,-1000.000
1667247691.728,-270.020,-696.289,-481.934,-473.145
1667247691.731,-810.059,807.129,-444.824,-910.645
1667247691.735,313.477,525.391,-509.277,585.449
1667247691.739,-1000.000,-960.938,-506.348,-922.852
1667247691.743,-538.086,-1000.000,-475.098,-1000.000
1667247691.747,-962.891,320.801,-493.164,298.340
1667247691.749,752.441,854.492,-465.332,-888.184
1667247691.753,-807.617,-528.809,-508.301,-280.273
1667247691.757,-1000.000,-1000.000,-544.434,-1000.000
1667247691.761,384.277,-111.816,-513.672,-155.273
1667247691.765,-817.871,-914.062,-453.613,-815.430
1667247691.769,-100.586,-46.875,-487.305,200.684
1667247691.773,-1000.000,-1000.000,-579.590,-1000.000
1667247691.776,-159.180,-421.875,-534.180,-294.434
1667247691.780,-800.293,-937.500,-446.289,-824.707
1667247691.784,220.703,277.832,-484.375,278.809
1667247691.788,-1000.000,-1000.000,-583.496,-1000.000
1667247691.792,-273.438,-793.457,-545.410,-697.754
1667247691.793,-808.105,690.430,-405.273,916.992
1667247691.797,385.742,593.262,-422.852,666.016
1667247691.801,-1000.000,-879.395,-587.402,-887.695
1667247691.805,-566.406,-1000.000,-521.973,-1000.000
1667247691.809,930.664,185.547,-419.434,193.848
1667247691.813,900.391,937.500,-430.176,-840.820
1667247691.817,-604.004,-386.230,-507.324,-157.227
1667247691.820,-1000.000,-1000.000,-541.992,-1000.000
1667247691.824,219.238,-192.871,-390.137,-128.906
1667247691.828,-790.039,-889.160,-361.816,-805.176
1667247691.832,22.461,52.246,-583.008,209.961
1667247691.836,-1000.000,-1000.000,-590.332,-1000.000
1667247691.838,-237.305,-518.066,-481.934,-387.207
1667247691.842,-812.500,988.770,-478.027,-860.352
1667247691.846,231.934,339.844,-542.969,331.055
1667247691.850,-1000.000,-1000.000,-564.941,-1000.000
1667247691.854,-332.520,-848.633,-499.512,-778.320
1667247691.858,-841.797,610.840,-437.500,800.293
1667247691.862,505.371,679.688,-469.727,854.492
1667247691.865,-1000.000,-776.855,-501.953,-675.781
1667247691.869,-754.395,-1000.000,-481.934,-1000.000
1667247691.873,807.617,106.934,-508.789,89.355
1667247691.877,-966.309,-981.445,-514.160,-812.988
1667247691.881,-397.949,-242.676,-565.430,-15.625
1667247691.898,-1000.000,-1000.000,-588.867,-1000.000
1667247691.902,87.891,-258.301,-526.367,-235.352
1667247691.906,-780.762,-895.508,-478.027,-820.801
1667247691.910,119.629,90.820,-517.578,237.793
1667247691.914,-1000.000,-1000.000,-576.660,-1000.000
1667247691.918,-256.348,-615.234,-470.215,-436.035
1667247691.922,-812.500,894.043,-437.012,-893.555
1667247691.925,235.840,409.668,-399.902,569.336
1667247691.929,-1000.000,-1000.000,-460.449,-983.887
1667247691.933,-424.316,-939.453,-579.590,-951.172
1667247691.937,-891.602,465.820,-501.465,604.980
1667247691.941,625.488,795.410,-504.883,953.125
1667247691.928,-971.680,-630.371,-587.402,-537.109
1667247691.932,-903.320,-1000.000,-585.938,-1000.000
1667247691.936,619.141,-3.418,-465.820,-51.270
