timestamps,TP9,AF7,AF8,TP10
1664549462.739,-39.062,-31.250,-17.090,-11.719,0
1664549462.743,-13.184,-31.738,-5.859,26.367,0
1664549462.747,-19.531,-29.297,-0.977,15.137,0
1664549462.751,-41.992,-29.297,-1.465,-11.719,0
1664549462.755,-22.461,-20.020,-2.930,17.578,0
1664549462.759,15.137,-8.789,-9.277,58.105,0
1664549462.763,13.672,-14.160,-13.672,45.898,0
1664549462.766,-8.301,-21.973,-13.672,15.137,0
1664549462.770,-6.836,-20.020,-9.766,19.531,0
1664549462.774,18.066,-13.672,-18.066,53.711,0
1664549462.778,26.855,-8.301,-11.719,48.340,0
1664549462.782,0.488,-16.602,-2.930,6.836,0
1664549462.740,-15.137,-26.855,-26.367,13.184,0
1664549462.744,4.883,-24.902,-24.902,41.016,0
1664549462.748,12.207,-20.508,2.441,31.738,0
1664549462.752,-7.812,-24.414,-1.465,-11.719,0
1664549462.756,-28.320,-29.297,-7.812,-18.066,0
1664549462.760,-11.719,-28.320,-0.977,20.020,0
1664549462.764,-0.977,-26.855,3.418,25.879,0
1664549462.767,-19.531,-28.809,-12.207,0.488,0
1664549462.771,-33.691,-27.832,-23.926,-5.371,0
1664549462.775,-14.160,-26.367,-10.742,20.020,0
1664549462.779,7.324,-25.391,-13.184,26.367,0
1664549462.783,-0.977,-24.902,-19.531,14.160,0
1664549462.741,-15.137,-23.926,-11.719,-1.953,0
1664549462.745,-15.137,-29.297,-7.812,-5.371,0
1664549462.749,-7.812,-37.109,0.488,1.953,0
1664549462.753,-19.043,-40.527,4.883,-5.859,0
1664549462.757,-31.738,-33.203,-6.348,-16.602,0
1664549462.761,-32.227,-22.461,-23.926,-9.277,0
1664549462.765,-20.508,-23.438,-17.578,11.230,0
1664549462.768,-8.789,-28.320,-11.719,15.625,0
1664549462.772,-26.855,-31.250,-29.297,13.184,0
1664549462.776,-48.340,-30.762,-20.996,2.441,0
1664549462.780,-35.645,-29.785,-9.277,-7.812,0
1664549462.784,-20.996,-30.273,-17.090,11.230,0
1664549462.743,-37.109,-32.227,-19.531,2.930,0
1664549462.747,-58.105,-26.855,-27.832,-13.672,0
1664549462.751,-44.922,-21.484,-31.738,-5.371,0
1664549462.755,-17.578,-24.902,-30.273,13.184,0
1664549462.759,-16.602,-27.832,-17.090,7.324,0
1664549462.763,-48.340,-29.297,-9.766,-20.508,0
1664549462.767,-56.641,-26.855,-18.066,-27.832,0
1664549462.770,-22.949,-20.508,-8.789,-10.254,0
1664549462.774,-13.184,-14.160,-19.043,3.418,0
1664549462.778,-40.527,-10.742,-20.996,-23.438,0
1664549462.782,-56.641,-20.020,-3.418,-48.828,0
1664549462.786,-33.691,-22.949,-3.906,-23.926,0
1664549462.745,-23.926,-16.602,-10.254,-0.488,0
1664549462.749,-52.246,-15.137,-18.066,-39.551,0
1664549462.753,-56.641,-14.160,-23.438,-59.570,0
1664549462.757,-39.062,-17.578,-37.598,-36.133,0
1664549462.761,-37.598,-24.414,-43.457,-20.508,0
1664549462.765,-47.363,-20.996,-20.996,-19.531,0
1664549462.769,-62.988,-20.996,-11.230,-36.133,0
1664549462.772,-48.828,-22.949,-16.113,-25.879,0
1664549462.776,-25.391,-16.602,-11.230,-4.883,0
1664549462.780,-35.156,-20.996,-12.695,-29.785,0
1664549462.784,-58.105,-21.484,-24.902,-46.387,0
1664549462.788,-62.988,-15.625,-32.715,-43.945,0
1664549462.748,-42.480,-16.602,-28.809,-22.461,0
1664549462.752,-38.086,-22.949,-20.996,-20.996,0
1664549462.756,-57.617,-26.855,-14.160,-49.316,0
1664549462.760,-64.453,-23.926,-29.297,-52.734,0
1664549462.764,-40.039,-16.602,-28.809,-20.996,0
1664549462.768,-33.203,-15.625,-4.883,0.977,0
1664549462.772,-53.711,-25.879,-12.207,-17.578,0
1664549462.775,-62.988,-23.926,-24.414,-20.508,0
1664549462.779,-50.293,-11.230,-9.766,-16.602,0
1664549462.783,-35.156,-17.090,-11.230,-24.414,0
1664549462.787,-42.480,-29.785,-19.043,-22.949,0
1664549462.791,-55.664,-24.902,-13.184,-34.180,0
1664549462.750,-49.805,-18.555,-15.625,-30.273,0
1664549462.754,-22.949,-19.043,-36.621,14.160,0
1664549462.758,-20.020,-20.508,-36.133,19.043,0
1664549462.762,-52.246,-22.949,-21.973,-26.855,0
1664549462.766,-60.547,-22.461,-19.043,-36.621,0
1664549462.770,-33.203,-27.832,-17.090,-1.953,0
1664549462.774,-23.438,-37.109,-32.715,9.277,0
1664549462.777,-50.781,-35.156,-40.039,-28.320,0
1664549462.781,-68.359,-27.344,-26.367,-62.012,0
1664549462.785,-37.598,-25.879,-25.391,-31.250,0
1664549462.789,-19.043,-29.297,-19.531,-5.371,0
1664549462.793,-44.434,-29.785,-19.043,-23.438,0
1664549462.752,-62.500,-25.391,-34.668,-55.176,0
1664549462.756,-58.105,-24.902,-38.574,-41.504,0
1664549462.760,-41.504,-27.344,-27.832,-18.066,0
1664549462.764,-49.316,-27.832,-29.297,-32.227,0
1664549462.768,-64.453,-28.809,-23.926,-51.270,0
1664549462.772,-57.129,-29.785,-27.832,-41.504,0
1664549462.776,-39.062,-30.273,-42.480,-10.742,0
1664549462.779,-43.457,-31.738,-26.367,-27.344,0
1664549462.783,-64.453,-27.832,-11.719,-52.734,0
1664549462.787,-63.965,-23.438,-9.277,-51.758,0
1664549462.791,-42.480,-20.996,-28.809,-26.855,0
1664549462.795,-33.691,-19.043,-29.297,-23.926,0
1664549462.753,-59.082,-25.879,-6.348,-49.805,0
1664549462.757,-66.895,-24.414,-19.531,-55.664,0
1664549462.761,-48.828,-20.508,-26.367,-35.645,0
1664549462.765,-38.574,-25.879,-19.531,-15.137,0
1664549462.769,-39.062,-25.391,-35.156,-22.949,0
1664549462.773,-51.758,-29.297,-41.992,-30.762,0
