timestamps,TP9,AF7,AF8,TP10
1664462252.481,-21.484,-30.762,83.496,-1.953,0
1664462252.485,5.859,-27.832,70.312,4.883,0
1664462252.489,-2.441,-29.785,68.359,10.254,0
1664462252.492,-28.809,-35.156,92.285,5.859,0
1664462252.496,-20.508,-28.320,98.633,5.859,0
1664462252.500,1.465,-24.902,89.355,18.066,0
1664462252.504,-0.488,-28.320,81.543,27.344,0
1664462252.508,-20.508,-30.762,81.543,18.066,0
1664462252.511,-27.832,-30.762,71.289,10.254,0
1664462252.515,-6.348,-29.785,70.312,16.113,0
1664462252.519,4.883,-32.715,81.543,10.742,0
1664462252.523,-25.391,-32.715,77.148,-7.324,0
1664462252.527,-32.227,-29.785,75.195,-3.906,0
1664462252.531,-10.742,-28.320,87.402,11.719,0
1664462252.535,5.859,-28.809,87.891,21.973,0
1664462252.538,-11.719,-25.391,83.496,3.906,0
1664462252.542,-24.902,-23.438,83.008,-1.953,0
1664462252.546,-24.414,-28.320,82.031,3.906,0
1664462252.550,3.418,-25.391,83.008,10.742,0
1664462252.554,-2.930,-20.020,84.961,3.418,0
1664462252.570,-28.320,-23.438,85.938,5.859,0
1664462252.574,-28.320,-29.297,76.172,11.719,0
1664462252.578,-8.789,-32.715,61.035,0.000,0
1664462252.582,-10.254,-28.320,67.383,-11.230,0
1664462252.586,-44.434,-23.438,74.707,-19.043,0
1664462252.590,-46.875,-30.273,65.918,-10.254,0
1664462252.594,-16.602,-31.250,75.195,-5.371,0
1664462252.597,1.465,-23.926,84.961,-3.906,0
1664462252.601,-26.367,-25.879,83.008,-1.465,0
1664462252.605,-48.340,-31.250,73.730,-1.465,0
1664462252.609,-35.645,-30.762,60.547,-11.230,0
1664462252.613,-7.812,-30.762,60.059,-0.488,0
1664462252.615,-21.484,-29.297,70.801,6.836,0
1664462252.619,-33.691,-27.832,75.684,-2.930,0
1664462252.623,-28.320,-28.320,69.824,-12.207,0
1664462252.627,-7.324,-31.250,68.359,2.930,0
1664462252.631,-10.742,-35.156,76.172,10.254,0
1664462252.635,-26.855,-28.809,78.613,2.930,0
1664462252.639,-27.344,-28.809,75.684,-9.277,0
1664462252.642,-9.277,-31.250,75.195,-7.324,0
1664462252.646,3.418,-21.484,72.754,8.301,0
1664462252.650,-31.738,-20.508,70.312,2.441,0
1664462252.654,-39.551,-21.484,77.148,-12.207,0
1664462252.658,-8.301,-23.438,67.871,2.930,0
1664462252.661,13.184,-27.344,64.453,10.254,0
1664462252.665,-12.207,-31.250,66.895,-11.230,0
