timestamps,TP9,AF7,AF8,TP10
1668620273.265,-550.781,-830.078,-939.941,-1000.000
1668620273.269,-926.270,785.156,-38.086,-319.824
1668620273.273,450.684,552.734,295.898,-866.699
1668620273.277,-1000.000,-974.609,-746.094,252.930
1668620273.281,-1000.000,-1000.000,-992.188,-1000.000
1668620273.284,449.219,86.914,-371.094,-779.785
1668620273.288,946.289,-955.566,442.383,872.070
1668620273.292,-581.055,-380.859,-248.047,380.371
1668620273.296,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.300,-169.922,-208.984,-680.664,-1000.000
1668620273.301,-838.867,-844.238,368.652,146.973
1668620273.305,86.914,178.223,53.711,882.324
1668620273.309,-1000.000,-1000.000,-1000.000,-642.578
1668620273.313,-241.211,-472.656,-903.809,-1000.000
1668620273.317,-821.289,-905.273,112.793,-196.777
1668620273.321,242.676,250.977,183.594,-866.699
1668620273.325,-1000.000,-1000.000,-962.891,41.016
1668620273.328,-651.855,-973.145,-973.145,-1000.000
1668620273.332,-991.699,563.965,-13.184,-428.711
1668620273.336,546.875,685.547,392.578,-898.926
1668620273.340,-970.703,-884.277,-703.613,257.324
1668620273.344,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.346,177.734,-74.707,-472.656,-906.738
1668620273.350,-898.438,-881.348,405.762,706.055
1668620273.354,-319.824,-163.086,-173.828,508.301
1668620273.358,-1000.000,-1000.000,-1000.000,-990.723
1668620273.362,-217.285,-245.605,-736.328,-1000.000
1668620273.366,-834.473,-844.238,265.137,-35.156
1668620273.370,242.188,245.605,56.152,-990.234
1668620273.373,-1000.000,-1000.000,-1000.000,-402.832
1668620273.377,-396.484,-660.156,-850.098,-1000.000
1668620273.381,-857.910,975.586,132.324,-203.613
1668620273.385,239.258,355.469,196.289,-851.074
1668620273.389,-1000.000,-1000.000,-905.273,145.508
1668620273.391,-927.246,-1000.000,-959.961,-1000.000
1668620273.395,646.973,233.887,-248.535,-534.668
1668620273.399,720.703,854.492,382.812,-935.059
1668620273.403,-852.539,-683.594,-504.395,252.930
1668620273.407,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.411,-73.730,-183.594,-572.754,-1000.000
1668620273.415,-849.609,-871.582,412.109,422.363
1668620273.418,-88.867,-1.465,-48.340,635.742
1668620273.422,-1000.000,-1000.000,-1000.000,-921.387
1668620273.426,-225.098,-433.594,-862.305,-1000.000
1668620273.430,-832.520,-909.180,166.504,-178.711
1668620273.434,243.164,248.535,137.695,-916.504
1668620273.437,-1000.000,-1000.000,-1000.000,-195.312
1668620273.441,-676.270,-995.605,-999.023,-1000.000
1668620273.445,987.305,545.410,23.438,-212.891
1668620273.449,405.273,531.250,312.012,-838.867
1668620273.453,-1000.000,-976.074,-847.656,243.164
1668620273.457,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.461,177.734,-67.871,-353.516,-684.570
1668620273.464,948.730,968.262,547.852,969.238
1668620273.468,-565.430,-433.105,-202.148,264.648
1668620273.472,-1000.000,-1000.000,-1000.000,-1000.000
1668620273.476,-195.801,-253.906,-674.316,-1000.000
1668620273.480,-866.211,-874.023,415.039,224.121
1668620273.482,41.016,135.254,-10.742,727.539
1668620273.486,-1000.000,-1000.000,-1000.000,-836.426
1668620273.490,-445.801,-731.934,-920.898,-1000.000
1668620273.494,-907.227,872.070,102.539,-188.965
1668620273.498,255.371,281.250,178.223,-887.695
1668620273.502,-1000.000,-1000.000,-986.816,-76.660
1668620273.506,-951.172,-1000.000,-964.355,-1000.000
1668620273.509,633.301,244.141,-33.203,-333.008
1668620273.513,590.332,647.949,330.566,-870.117
